id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
197,PARNA DO BOQUEIRAO DA ONCA,PARNA,PARQUE NACIONAL DO BOQUEIRAO DA ONCA,ICMBio Juazeiro,GR2,0000.00.3652,DEC 9.336 de 05/04/2018,BA,CAATINGA,CAATINGA,346908.103054534
198,PARNA DO CABO ORANGE,PARNA,PARQUE NACIONAL DO CABO ORANGE,Gestao singular,GR1,0000.00.0169,DEC 84.913. de 15/07/1980,AP,AMAZONIA,AMAZONIA,657327.774408373
199,PARNA DO CATIMBAU,PARNA,PARQUE NACIONAL DO CATIMBAU,Gestao singular,GR2,0000.00.0170,DEC S/N. de 13/12/2002,PE,CAATINGA,CAATINGA,62239.590728
200,PARNA DO DESCOBRIMENTO,PARNA,PARQUE NACIONAL DO DESCOBRIMENTO,Gestao singular,GR2,0000.00.0171,DEC S/N. de 05/06/2012,BA,MATA ATLANTICA,MATA ATLANTICA,22607.837289
201,PARNA DO IGUACU,PARNA,PARQUE NACIONAL DO IGUACU,Gestao singular,GR5,0000.00.0172,DEC  1.035. de 10/01/1939; DEC 86.676. de 01/12/1981,PR,MATA ATLANTICA,MATA ATLANTICA,169697.05516939
202,PARNA DO JAU,PARNA,PARQUE NACIONAL DO JAU,ICMBio Novo Airao,GR1,0000.00.0173,DEC 85.200 de 24/09/1980,AM;RR,AMAZONIA,AMAZONIA,2367357.46883145
203,PARNA DO JAMANXIM,PARNA,PARQUE NACIONAL DO JAMANXIM,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0267,DEC S/N de 13/02/2006; LEI 13.452 de 19/06/2017,PA,AMAZONIA,AMAZONIA,862895.272902047
204,PARNA DO JURUENA,PARNA,PARQUE NACIONAL DO JURUENA,Gestao singular,GR3,0000.00.0281,DEC S/N de 05/06/2006,AM;MT,AMAZONIA,AMAZONIA,1958014.41698122
205,PARNA DO MONTE RORAIMA,PARNA,PARQUE NACIONAL DO MONTE RORAIMA,ICMBio Roraima,GR1,0000.00.0174,DEC 97.887. de 28/06/1989,RR,AMAZONIA,AMAZONIA,116749.240340844
206,PARNA DO PANTANAL MATOGROSSENSE,PARNA,PARQUE NACIONAL DO PANTANAL MATO-GROSSENSE,Gestao singular,GR3,0000.00.0175,DEC 86.392. de 24/09/1981,MS;MT,PANTANAL,PANTANAL,135922.646174298
207,PARNA DO PAU BRASIL,PARNA,PARQUE NACIONAL DO PAU BRASIL,Gestao singular,GR2,0000.00.0176,DEC S/N. de 11/06/2010,BA,MATA ATLANTICA,MATA ATLANTICA,18934.5455524978
208,PARNA DO PICO DA NEBLINA,PARNA,PARQUE NACIONAL DO PICO DA NEBLINA,Gestao singular,GR1,0000.00.0177,DEC 83.550. de 05/06/1979,AM,AMAZONIA,AMAZONIA,2252638.58771388
209,PARNA DO RIO NOVO,PARNA,PARQUE NACIONAL DO RIO NOVO,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0264,DEC S/N. de 13/02/2006,PA,AMAZONIA,AMAZONIA,538157.14657558
210,PARNA DO SUPERAGUI,PARNA,PARQUE NACIONAL DO SUPERAGUI,ICMBio Antonina-Guaraquecaba,GR5,0000.00.0178,DEC 97.688 de 25/04/1989; DEC 9.513 de 20/11/1997,SP;PR,MATA ATLANTICA,MATA ATLANTICA,33860.6378332606
211,PARNA DO VIRUA,PARNA,PARQUE NACIONAL DO VIRUA,ICMBio Roraima,GR1,0000.00.0179,DEC S/N. de 29/04/1998 e Decreto n┬░ 11.683 de 05/09/2023,RR,AMAZONIA,AMAZONIA,280983.195591369
212,PARNA DOS CAMPOS AMAZONICOS,PARNA,PARQUE NACIONAL DOS CAMPOS AMAZONICOS,ICMBio Humaita,GR1,0000.00.0284,DEC S/N. de 21/06/2006; MP 542. de 12/08/2011; LEI 12.678. de 25/06/2012,RO;MT;AM,AMAZONIA,AMAZONIA,961326.648950205
213,PARNA DOS CAMPOS FERRIGINOSOS,PARNA,PARQUE NACIONAL DOS CAMPOS FERRUGINOSOS,Gestao singular,GR1,0000.00.3519,DEC S/N de 05/06/2017,PA,AMAZONIA,AMAZONIA,78869.9047623342
214,PARNA DOS CAMPOS GERAIS,PARNA,PARQUE NACIONAL DOS CAMPOS GERAIS,ICMBio Campos Gerais,GR5,0000.00.0277,DEC S/N de 23/03/2006,PR,MATA ATLANTICA,MATA ATLANTICA,21299.0759665352
215,PARNA DOS LENCOIS MARANHENSES,PARNA,PARQUE NACIONAL DOS LENCOIS MARANHENSES,Gestao singular,GR2,0000.00.0180,DEC 86.060. de 02/06/1981,MA,CERRADO,CERRADO;SISTEMA COSTEIRO-MARINHO,157174.125221602
216,PARNA E HISTORICO DO MONTE PASCOAL,PARNA,PARQUE NACIONAL E HISTORICO DO MONTE PASCOAL,Gestao singular,GR2,0000.00.0182,DEC  242 de 29/11/1961; DEC 3.421. de 20/04/2000,BA,MATA ATLANTICA,MATA ATLANTICA,22239.8443803133
217,PARNA GRANDE SERTAO VEREDAS,PARNA,PARQUE NACIONAL GRANDE SERTAO VEREDAS,Gestao singular,GR4,0000.00.0183,DEC 97.658. de 12/04/1989; DEC S/N. de 21/05/2004,BA;MG,CERRADO,CERRADO,230856.142980974
218,PARNA GUARICANA,PARNA,PARQUE NACIONAL GUARICANA,ICMBio Curitiba,GR5,0000.00.3137,DEC S/N. de 13/10/2014,PR,MATA ATLANTICA,MATA ATLANTICA,49286.87444442
219,PARNA MAPINGUARI,PARNA,PARQUE NACIONAL MAPINGUARI,ICMBio Porto Velho,GR1,0000.00.1633,DEC S/N de 05/06/2008; LEI 12.249. de 11/06/2010; LEI 12.678. de 25/06/2012,AM;RO,AMAZONIA,AMAZONIA,1776932.04468265
220,PARNA MARINHO DAS ILHAS DOS CURRAIS,PARNA,PARQUE NACIONAL MARINHO DAS ILHAS DOS CURRAIS,ICMBio Matinhos,GR5,0000.00.2874,LEI 12.829. de 20/06/2013,PR,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,1359.70097744795
221,PARNA MARINHO DE FERNANDO DE NORONHA,PARNA,PARQUE NACIONAL MARINHO DE FERNANDO DE NORONHA,ICMBio Noronha,GR2,0000.00.0186,DEC 96.693. de 14/09/1988,PE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,10932.5672104602
222,PARNA MARINHO DOS ABROLHOS,PARNA,PARQUE NACIONAL MARINHO DOS ABROLHOS,Gestao singular,GR2,0000.00.0185,DEC 88.218. de 06/04/1983,BA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,87943.1394997585
223,PARNA MONTANHAS DO TUMUCUMAQUE,PARNA,PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,ICMBio Amapa Central,GR1,0000.00.0187,DEC S/N. de 22/08/2002,AP,AMAZONIA,AMAZONIA,3865172.48222874
224,PARNA NASCENTES DO LAGO JARI,PARNA,PARQUE NACIONAL NASCENTES DO LAGO JARI,ICMBio Porto Velho,GR1,0000.00.1626,DEC S/N. de 08/05/2008,AM,AMAZONIA,AMAZONIA,808607.838883547
225,PARNA SERRA DA CUTIA,PARNA,PARQUE NACIONAL SERRA DA CUTIA,ICMBio Guajara-Mirim,GR1,0000.00.0188,DEC S/N. de 01/08/2001,RO,AMAZONIA,AMAZONIA,283503.495276468
226,PARNA SERRA DA MOCIDADE,PARNA,PARQUE NACIONAL SERRA DA MOCIDADE,ICMBio Roraima,GR1,0000.00.0189,DEC S/N. de 29/04/1998,AM;RR,AMAZONIA,AMAZONIA,359943.614696186
227,PARNA SERRA DE ITABAIANA,PARNA,PARQUE NACIONAL SERRA DE ITABAIANA,ICMBio Itabaiana-Ibura,GR2,0000.00.0147,DEC S/N. de 15/06/2005,SE,MATA ATLANTICA,MATA ATLANTICA,8024.79426534783
228,REVIS DA ARARINHA AZUL,REVIS,REFUGIO DE VIDA SILVESTRE DA ARARINHA AZUL,ICMBio Juazeiro,GR2,0000.00.3694,DEC 9.402 de 05/06/2018,BA,CAATINGA,CAATINGA,29234.734603269
229,REVIS DAS VEREDAS DO OESTE BAIANO,REVIS,REFUGIO DE VIDA SILVESTRE DAS VEREDAS DO OESTE BAIANO,ICMBio Mambai,GR3,0000.00.0219,DEC S/N de 13/12/2002; DEC S/N de 11/06/2010,BA,CERRADO,CERRADO,142.38819909512
230,REVIS DO ARQUIPELAGO DE ALCATRAZES,REVIS,REFUGIO DE VIDA SILVESTRE DO ARQUIPELAGO DE ALCATRAZES,ICMBio Alcatrazes,GR4,0000.00.3432,DEC S/N de 02/08/2016,SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,128050.552597026
