ind,UC,NGI,Incendio,Queima_prescrita,Queima_controlada,Aceiro,Fogo_natural,Indigena_isolado,Total_prevencao,Total_combate,Area_total,Area_UC,Perc_AAF_UC
24,ESEC DA SERRA DAS ARARAS,-,0,1688.522689,0,0,0,0,1688.522689,0,1688.522689,27159.4199,6.22
25,ESEC DA TERRA DO MEIO,Nucleo de Gestao Integrada - ICMBio Terra do Meio,355.1575037,0,0,0,0,0,0,355.1575037,355.1575037,3373152.25,0.01
26,ESEC DE AIUABA,Nucleo de Gestao Integrada - ICMBio Araripe,60.14277737,0,0,0,0,0,0,60.14277737,60.14277737,11746.918,0.51
27,ESEC DE CUNIA,Nucleo de Gestao Integrada - ICMBio Cunia-Jacunda,1043.962338,0,0,0,0,0,0,1043.962338,1043.962338,182607.562,0.57
28,ESEC DE URUCUI-UNA,-,38606.44112,1230.356985,236.7838209,0,0,0,1467.140806,38606.44112,40073.58193,135123.094,29.66
29,ESEC DO CASTANHAO,Nucleo de Gestao Integrada - ICMBio Mossoro,5.099136617,0,0,0,0,0,0,5.099136617,5.099136617,12574.4307,0.04
30,ESEC NIQUIA,Nucleo de Gestao Integrada - ICMBio Roraima,0,5454.284986,0,0,0,0,5454.284986,0,5454.284986,306402.844,1.78
31,ESEC SERRA GERAL DO TOCANTINS,-,97899.70322,35621.35147,39197.71966,0,0,0,74819.07113,97899.70322,172718.7743,707084.875,24.43
32,FLONA DA MATA GRANDE,Nucleo de Gestao Integrada - ICMBio Mata Grande/Terra Ronca,258.7514255,0,0,0,0,0,0,258.7514255,258.7514255,2009.87878,12.87
33,FLONA DE ALTAMIRA,UNA Itaituba,8300.771447,0,0,0,0,0,0,8300.771447,8300.771447,723342.25,1.15
34,FLONA DE BALATA-TUFARI,Nucleo de Gestao Integrada - ICMBio Porto Velho,592.5107666,0,0,0,0,0,0,592.5107666,592.5107666,1061955.62,0.06
35,FLONA DE BRASILIA,Nucleo de Gestao Integrada - ICMBio Descoberto-Brasilia,212.4232241,38.27800998,0,0,0,0,38.27800998,212.4232241,250.7012341,5622.75439,4.46
36,FLONA DE CAXIUANA,Nucleo de Gestao Integrada - ICMBio Breves,76.65793044,0,0,0,0,0,0,76.65793044,76.65793044,317945.656,0.02
37,FLONA DE CRISTOPOLIS,-,136.4019599,0,0,0,0,0,0,136.4019599,136.4019599,12840.5498,1.06
38,FLONA DE IPANEMA,Nucleo de Gestao Integrada - ICMBio Ipero,23.52974189,0,0,0,0,0,0,23.52974189,23.52974189,5384.79297,0.44
39,FLONA DE ITAITUBA II,UNA Itaituba,651.7188422,0,0,0,0,0,0,651.7188422,651.7188422,397748.938,0.16
